Title,Author,Translator,ZipRelativePath,TextRelativePath
臨時急行列車の紛失,ドイル アーサー・コナン,新青年編輯局,cards/000009/files/43056_ruby_16830.zip,https://raw.githubusercontent.com/2Nike2/aozora-utf8/master/text/43056_ruby_16830_the_lost_special.txt
世界怪談名作集,ドイル アーサー・コナン,岡本 綺堂,cards/000009/files/43471_ruby_16500.zip,https://raw.githubusercontent.com/2Nike2/aozora-utf8/master/text/43471_ruby_16500_09hokkyokuseigono_sencho.txt
株式仲買店々員,ドイル アーサー・コナン,三上 於菟吉,cards/000009/files/43497_ruby_16274.zip,https://raw.githubusercontent.com/2Nike2/aozora-utf8/master/text/43497_ruby_16274_the_stockbrokers_clerk.txt
グロリア・スコット号,ドイル アーサー・コナン,三上 於菟吉,cards/000009/files/43498_ruby_16423.zip,https://raw.githubusercontent.com/2Nike2/aozora-utf8/master/text/43498_ruby_16423_the_gloria_scott.txt
空家の冒険,ドイル アーサー・コナン,三上 於菟吉,cards/000009/files/43522_ruby_16831.zip,https://raw.githubusercontent.com/2Nike2/aozora-utf8/master/text/43522_ruby_16831_the_empty_house.txt
自転車嬢の危難,ドイル アーサー・コナン,三上 於菟吉,cards/000009/files/43523_ruby_17190.zip,https://raw.githubusercontent.com/2Nike2/aozora-utf8/master/text/43523_ruby_17190_the_adventure.txt
入院患者,ドイル アーサー・コナン,三上 於菟吉,cards/000009/files/43524_ruby_16422.zip,https://raw.githubusercontent.com/2Nike2/aozora-utf8/master/text/43524_ruby_16422_the_resident_patient.txt
暗号舞踏人の謎,ドイル アーサー・コナン,三上 於菟吉,cards/000009/files/45340_ruby_18659.zip,https://raw.githubusercontent.com/2Nike2/aozora-utf8/master/text/45340_ruby_18659_ango_butojinno_nazo.txt
夏秋表,立原 道造,,cards/000011/files/450_txt_21031.zip,https://raw.githubusercontent.com/2Nike2/aozora-utf8/master/text/450_txt_21031_kashuhyo.txt
白紙,立原 道造,,cards/000011/files/55300_ruby_70429.zip,https://raw.githubusercontent.com/2Nike2/aozora-utf8/master/text/55300_ruby_70429_hakushi.txt
夜に就て,立原 道造,,cards/000011/files/55301_txt_68465.zip,https://raw.githubusercontent.com/2Nike2/aozora-utf8/master/text/55301_txt_68465_yoruni_tsuite.txt
ゆふすげびと,立原 道造,,cards/000011/files/59087_txt_77126.zip,https://raw.githubusercontent.com/2Nike2/aozora-utf8/master/text/59087_txt_77126_yusuge_bito.txt
萱草に寄す,立原 道造,,cards/000011/files/889_ruby_20332.zip,https://raw.githubusercontent.com/2Nike2/aozora-utf8/master/text/889_ruby_20332_wasuregusani_yosu.txt
優しき歌　Ⅰ・Ⅱ,立原 道造,,cards/000011/files/899_ruby_1607.zip,https://raw.githubusercontent.com/2Nike2/aozora-utf8/master/text/899_ruby_1607_yasashiki_uta.txt
暁と夕の詩,立原 道造,,cards/000011/files/9_ruby_20330.zip,https://raw.githubusercontent.com/2Nike2/aozora-utf8/master/text/9_ruby_20330_akatsukito_yubeno_uta.txt
秋は淋しい,素木 しづ,,cards/000012/files/10_ruby_20387.zip,https://raw.githubusercontent.com/2Nike2/aozora-utf8/master/text/10_ruby_20387_akiwa_sabishii.txt
咲いてゆく花,素木 しづ,,cards/000012/files/1092_ruby_20970.zip,https://raw.githubusercontent.com/2Nike2/aozora-utf8/master/text/1092_ruby_20970_saiteyuku_hana.txt
青白き夢,素木 しづ,,cards/000012/files/198_ruby_20962.zip,https://raw.githubusercontent.com/2Nike2/aozora-utf8/master/text/198_ruby_20962_aojiroki_yume.txt
三十三の死,素木 しづ,,cards/000012/files/2_ruby_20958.zip,https://raw.githubusercontent.com/2Nike2/aozora-utf8/master/text/2_ruby_20958_sanjusanno_shi.txt
晩餐,素木 しづ,,cards/000012/files/223_ruby_2389.zip,https://raw.githubusercontent.com/2Nike2/aozora-utf8/master/text/223_ruby_2389_bansan.txt
珠,素木 しづ,,cards/000012/files/24448_ruby_11788.zip,https://raw.githubusercontent.com/2Nike2/aozora-utf8/master/text/24448_ruby_11788_tama.txt
惨事のあと,素木 しづ,,cards/000012/files/2585_ruby_20968.zip,https://raw.githubusercontent.com/2Nike2/aozora-utf8/master/text/2585_ruby_20968_sanjino_ato.txt
幸福への道,素木 しづ,,cards/000012/files/33200_ruby_11851.zip,https://raw.githubusercontent.com/2Nike2/aozora-utf8/master/text/33200_ruby_11851_koufuku.txt
雛鳥の夢,素木 しづ,,cards/000012/files/378_ruby_20972.zip,https://raw.githubusercontent.com/2Nike2/aozora-utf8/master/text/378_ruby_20972_hinadorino_yume.txt
嫂,素木 しづ,,cards/000012/files/4316_ruby_20976.zip,https://raw.githubusercontent.com/2Nike2/aozora-utf8/master/text/4316_ruby_20976_ane.txt
かなしみの日より,素木 しづ,,cards/000012/files/435_ruby_20960.zip,https://raw.githubusercontent.com/2Nike2/aozora-utf8/master/text/435_ruby_20960_kanashimino_hi_yori.txt
追憶,素木 しづ,,cards/000012/files/48628_ruby_33071.zip,https://raw.githubusercontent.com/2Nike2/aozora-utf8/master/text/48628_ruby_33071_tsuioku.txt
秋の瞳,八木 重吉,,cards/000013/files/11_ruby_20061.zip,https://raw.githubusercontent.com/2Nike2/aozora-utf8/master/text/11_ruby_20061_akino_hitomi.txt
貧しき信徒,八木 重吉,,cards/000013/files/542_ruby_471.zip,https://raw.githubusercontent.com/2Nike2/aozora-utf8/master/text/542_ruby_471_mazushiki_shinto.txt
悪魔の舌,村山 槐多,,cards/000014/files/12_ruby_22756.zip,https://raw.githubusercontent.com/2Nike2/aozora-utf8/master/text/12_ruby_22756_akumano_shita.txt
京都人の夜景色,村山 槐多,,cards/000014/files/46407_txt_26278.zip,https://raw.githubusercontent.com/2Nike2/aozora-utf8/master/text/46407_txt_26278_kyotojinno_yogeshiki.txt
殺人行者,村山 槐多,,cards/000014/files/728_txt_22758.zip,https://raw.githubusercontent.com/2Nike2/aozora-utf8/master/text/728_txt_22758_satsujin_gyoja.txt
尼,ウィード グスターフ,森 鴎外、森 林太郎,cards/000017/files/193_ruby_22801.zip,https://raw.githubusercontent.com/2Nike2/aozora-utf8/master/text/193_ruby_22801_ama.txt
薔薇,ウィード グスターフ,森 鴎外、森 林太郎,cards/000017/files/224_ruby_23183.zip,https://raw.githubusercontent.com/2Nike2/aozora-utf8/master/text/224_ruby_23183_bara.txt
赤いくつ,アンデルセン ハンス・クリスチャン,楠山 正雄,cards/000019/files/42378_ruby_18383.zip,https://raw.githubusercontent.com/2Nike2/aozora-utf8/master/text/42378_ruby_18383_akai_kutsu.txt
しっかり者のすずの兵隊,アンデルセン ハンス・クリスチャン,楠山 正雄,cards/000019/files/42379_ruby_20835.zip,https://raw.githubusercontent.com/2Nike2/aozora-utf8/master/text/42379_ruby_20835_sikkarimonono_suzuno.txt
幸福のうわおいぐつ,アンデルセン ハンス・クリスチャン,楠山 正雄,cards/000019/files/42380_ruby_20836.zip,https://raw.githubusercontent.com/2Nike2/aozora-utf8/master/text/42380_ruby_20836_kofukuno_uwaoigutsu.txt
小夜啼鳥,アンデルセン ハンス・クリスチャン,楠山 正雄,cards/000019/files/42381_ruby_18649.zip,https://raw.githubusercontent.com/2Nike2/aozora-utf8/master/text/42381_ruby_18649_sayonakidori.txt
旅なかま,アンデルセン ハンス・クリスチャン,楠山 正雄,cards/000019/files/42382_ruby_17311.zip,https://raw.githubusercontent.com/2Nike2/aozora-utf8/master/text/42382_ruby_17311_tabi_nakama.txt
人魚のひいさま,アンデルセン ハンス・クリスチャン,楠山 正雄,cards/000019/files/42383_ruby_19889.zip,https://raw.githubusercontent.com/2Nike2/aozora-utf8/master/text/42383_ruby_19889_ningyono_hiisama.txt
野のはくちょう,アンデルセン ハンス・クリスチャン,楠山 正雄,cards/000019/files/42384_ruby_20838.zip,https://raw.githubusercontent.com/2Nike2/aozora-utf8/master/text/42384_ruby_20838_nono_hakucho.txt
ひこうかばん,アンデルセン ハンス・クリスチャン,楠山 正雄,cards/000019/files/42385_ruby_20839.zip,https://raw.githubusercontent.com/2Nike2/aozora-utf8/master/text/42385_ruby_20839_hiko_kaban.txt
醜い家鴨の子,アンデルセン ハンス・クリスチャン,菊池 寛,cards/000019/files/42386_ruby_20867.zip,https://raw.githubusercontent.com/2Nike2/aozora-utf8/master/text/42386_ruby_20867_minikui_ahirunoko.txt
雪の女王,アンデルセン ハンス・クリスチャン,楠山 正雄,cards/000019/files/42387_ruby_20531.zip,https://raw.githubusercontent.com/2Nike2/aozora-utf8/master/text/42387_ruby_20531_yukino_joo.txt
即興詩人,アンデルセン ハンス・クリスチャン,森 鴎外,cards/000019/files/4376_ruby_18828.zip,https://raw.githubusercontent.com/2Nike2/aozora-utf8/master/text/4376_ruby_18828_sokkyo_shijin.txt
もみの木,アンデルセン ハンス・クリスチャン,楠山 正雄,cards/000019/files/44423_ruby_20868.zip,https://raw.githubusercontent.com/2Nike2/aozora-utf8/master/text/44423_ruby_20868_mominoki.txt
